"unique_id","survey_id","country","incentive","participation_context","duration","start_date","end_date","university","eligibility_ug","eligibility_stats","degree_level_maths","degree_level_maths_specify","degree_year","age","gender","math_edu_grade","math_edu_grade_sat","math_edu_grade_act","math_edu_grade_gcse","math_edu_grade_a_level","math_edu_mths","stats_edu_grade","stats_edu_grade_edited","stats_edu_first_module","stats_edu_module_1","stats_edu_grade_1","stats_edu_grade_2","all_stats_modules","is_university","is_stats_module","average_overall_grade","is_stats_module_code","mod_start_date","mod_end_date","software_excel","software_jamovi","software_jasp","software_r","software_sas","software_spss_amos","software_spss_stats","software_none","software_other","software_specify","freq_or_bayes","topic_covariates","topic_algebra","topic_anova","topic_bayes_factors","topic_bayes_theorem","topic_bootstrapping","topic_calculus","topic_casual_inference","topic_causality","topic_conf_ints","topic_correlation","topic_data_wrangling","topic_data_vis","topic_distributions","topic_descriptive_stats","topic_effect_sizes","topic_exp_design","topic_factor_analysis","topic_moderation","topic_linear_models","topic_logistic_reg","topic_mediation","topic_meta_analysis","topic_assumptions","topic_multi_comparisons","topic_multi_regression","topic_non_para","topic_nhst","topic_ols","topic_open_science","topic_philosophy","topic_probability","topic_psychometrics","topic_qual","topic_reliability","topic_regression","topic_rep_crisis","topic_report_writing","topic_robust_tests","topic_power","topic_software","topic_ttest","STARS_TestAnxiety","STARS_InterpretationAnxiety","STARS_HelpAnxiety","STARS_Total","STICSA_Cognitive","STICSA_Somatic","STICSA_Total","RTAS_Worry","RTAS_Tension","RTAS_TestIrrelevantThinking","RTAS_BodilySymptoms","RTAS_Total","BFNE_Total","LSAS_SocialInteraction","LSAS_Performance","LSAS_Total","IUS_Prospective","IUS_Inhibitory","IUS_Total","CAS_creativity","CAS_noncreativity","NGSE_Mean","ATMS_Persistence_Total"
"02ada576","amsterdam","Netherlands","Credits","Remotely, in own time",2611,"5/3/2021","5/3/2021","University of Amsterdam","Yes","Yes","No",NA,"2nd Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Scientific and Statistical Reasoning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,29,11,72,28,16,44,20,21,10,18,69,31,31,35,66,23,22,45,15,14,3.25,27
"02d2d877","amsterdam","Netherlands","Credits","Remotely, in own time",1736,"4/3/2021","4/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,31,8,59,19,13,32,12,12,7,9,40,16,16,18,34,8,6,14,10,15,3.5,21
"034f0b3f","amsterdam","Netherlands","Credits","Remotely, in own time",1141,"7/3/2021","7/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Male/Man","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","Research methods and Statistics","7.5","0","Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14,6,36,17,13,30,11,8,6,8,33,18,18,22,40,8,7,15,10,9,4,26
"053cf5f8","amsterdam","Netherlands","Credits","Remotely, in own time",1255,"9/3/2021","9/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,34,5,61,26,27,53,21,17,16,12,66,34,21,32,53,20,13,33,19,24,4,26
"0a27b1f0","amsterdam","Netherlands","Credits","Remotely, in own time",2158,"10/3/2021","10/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Research Methods & Statistics, Behavioral Data Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,29,7,52,21,27,48,12,12,6,14,44,27,23,29,52,14,19,33,23,17,3.75,28
"0a5a9cf3","amsterdam","Netherlands","Credits","Remotely, in own time",1474,"7/3/2021","7/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","22-25","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No",NA,"6.3","5.5","Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,21,7,50,25,22,47,19,17,5,17,58,25,23,30,53,17,11,28,16,10,4.625,28
"0ab35b29","amsterdam","Netherlands","Credits","Remotely, in own time",3570,"6/3/2021","6/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Male/Man","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","Research Methods and Statistics","4.5",NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,16,4,41,16,17,33,12,12,11,11,46,12,18,18,36,12,9,21,23,16,3.625,27
"0b56a2b9","amsterdam","Netherlands","Credits","Remotely, in own time",2404,"4/3/2021","4/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Male/Man","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","research methods & Statistics Psychology year 1","7.5",NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,26,8,54,13,16,29,9,9,5,10,33,15,15,22,37,6,7,13,14,11,4,22
"0b9ff8a5","amsterdam","Netherlands","Credits","Remotely, in own time",4250,"4/3/2021","4/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,22,10,65,27,16,43,17,21,8,16,62,31,24,26,50,12,13,25,15,14,3.625,30
"0c036ff7","amsterdam","Netherlands","Credits","Remotely, in own time",1280,"5/3/2021","5/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","22-25","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","Research methods and Statistics","7.5",NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,17,7,49,34,25,59,17,21,10,19,67,20,19,23,42,9,11,20,14,14,3.25,26
